Trace,Exp,performance_model.cycle_count,performance_model.instruction_count,dtlb.miss,dtlb.access,stlb.miss,stlb.access,PTW.page_walks,PTW.total-PD-latency,PTW.total-PDPE-latency,PTW.total-PMLE4-latency,PTW.total-PT-latency,PTW_0.page_walks,PTW_0.total-PD-latency,PTW_0.total-PDPE-latency,PTW_0.total-PMLE4-latency,PTW_0.total-PT-latency,PTW_1.page_walks,PTW_1.total-PD-latency,PTW_1.total-PDPE-latency,PTW_1.total-PMLE4-latency,PTW_1.total-PT-latency,PTW_2.page_walks,PTW_2.total-PD-latency,PTW_2.total-PDPE-latency,PTW_2.total-PMLE4-latency,PTW_2.total-PT-latency,PTW_cuckoo.latency,pwc_L2.access,pwc_L2.miss,pwc_L3.access,pwc_L3.miss,pwc_L4.access,pwc_L4.miss,ptw_radix_0.page_level_latency_0,ptw_radix_0.page_level_latency_1,ptw_radix_0.page_level_latency_2,ptw_radix_0.page_level_latency_3,ptw_radix_0.page_level_latency_4,ptw_radix_1.page_level_latency_0,ptw_radix_1.page_level_latency_1,ptw_radix_1.page_level_latency_2,ptw_radix_1.page_level_latency_3,ptw_radix_1.page_level_latency_4,ptw_radix_2.page_level_latency_0,ptw_radix_2.page_level_latency_1,ptw_radix_2.page_level_latency_2,ptw_radix_2.page_level_latency_3,ptw_radix_2.page_level_latency_4,mmu.tlb_and_utr_miss,mmu.tlb_and_utr_miss_latency,mmu.tlb_hit,mmu.tlb_hit_latency,mmu.utr_hit,mmu.utr_hit_latency,mmu.total_latency,ulb.access,ulb.allocations,ulb.miss,ulb.miss_inUTR,utr_1.accesses,utr_1.allocation_conflicts,utr_1.allocations,utr_1.hits,utr_2.accesses,utr_2.allocation_conflicts,utr_2.allocations,utr_2.hits,uperm.access,uperm.miss,utag.access,utag.miss,nuca-cache.read-misses,nuca-cache.reads,nuca-cache.write-misses,nuca-cache.writes,dram.reads,dram.writes,barrier.global_time,dram-queue.total-time-used,ddr.page-closing,ddr.page-conflict-data-to-data,ddr.page-conflict-data-to-metadata,ddr.page-conflict-metadata-to-data,ddr.page-conflict-metadata-to-metadata,ddr.page-empty,ddr.page-hits,ddr.page-miss,L1-D.metadata-loads,L1-D.metadata-load-misses,L1-D.metadata-mshr-latency,L1-D.mshr-latency,L2.metadata-loads,L2.metadata-load-misses,nuca-cache.read-misses-metadata,nuca-cache.reads-metadata,mmu.llc_hit_and_l1tlb_hit,mmu.llc_hit_and_l2tlb_hit,mmu.llc_hit_and_l2tlb_miss,mmu.llc_miss_and_l1tlb_hit,mmu.llc_miss_and_l2tlb_hit,mmu.llc_miss_and_l2tlb_miss,L1-D.data-reuse-0,L1-D.data-reuse-1,L1-D.data-reuse-2,L1-D.data-reuse-3,L1-D.data-reuse-4,L2.data-reuse-0,L2.data-reuse-1,L2.data-reuse-2,L2.data-reuse-3,L2.data-reuse-4,nuca-cache.data-reuse-0,nuca-cache.data-reuse-1,nuca-cache.data-reuse-2,nuca-cache.data-reuse-3,nuca-cache.data-reuse-4,L1-D.metadata-reuse-0,L1-D.metadata-reuse-1,L1-D.metadata-reuse-2,L1-D.metadata-reuse-3,L1-D.metadata-reuse-4,L1-D.loads-page_table,L1-D.load-misses-page_table,L2.loads-page_table,L2.load-misses-page_table,L1-D.tload-misses,L1-D.tloads,L1-D.tstore-misses,L1-D.tstores,L2.loads-non_page_table,L2.load-misses-non_page_table,L1-D.load-misses-non_page_table,L1-D.loads-non_page_table,L2.loads-tlb_entry,L2.loads-misses-tlb_entry,L1-D.loads-tlb_entry,L1-D.loads-misses-tlb_entry,stlb.l1_tlb_cache_hit,stlb.l2_tlb_cache_hit,stlb.nuca_tlb_cache_hit,stlb.potm_latency,potm_tlb.access,potm_tlb.miss,nested_tlb.access,nested_tlb.miss,L2.tlb-reuse-0,L2.tlb-reuse-1,L2.tlb-reuse-2,L2.tlb-reuse-3,L2.tlb-reuse-4,L2.tlb-util-0,L2.tlb-util-1,L2.tlb-util-2,L2.tlb-util-3,L2.tlb-util-4,L2.tlb-util-5,L2.tlb-util-7,mmu.l1_tlb_hit,mmu.l1c_hit_tlb,mmu.l1c_hit_tlb_latency,mmu.l2_tlb_hit,mmu.l2c_hit_tlb,mmu.l2c_hit_tlb_latency,utr_cache_2.data-reuse-0,utr_cache_2.data-reuse-1,utr_cache_2.data-reuse-2,utr_cache_2.data-reuse-3,utr_cache_2.data-reuse-4,utr_cache_1.data-reuse-0,utr_cache_1.data-reuse-1,utr_cache_1.data-reuse-2,utr_cache_1.data-reuse-3,utr_cache_1.data-reuse-4,L1-D.loads-where-page-table-cache-remote,L1-D.loads-where-page-table-dram,L1-D.loads-where-page-table-dram-cache,L1-D.loads-where-page-table-dram-local,L1-D.loads-where-page-table-dram-remote,L1-D.loads-where-page-table-L1,L1-D.loads-where-page-table-L1_S,L1-D.loads-where-page-table-L1I,L1-D.loads-where-page-table-L2,L1-D.loads-where-page-table-L2_S,L1-D.loads-where-page-table-L3,L1-D.loads-where-page-table-L3_S,L1-D.loads-where-page-table-L4,L1-D.loads-where-page-table-L4_S,L1-D.loads-where-page-table-miss,L1-D.loads-where-page-table-nuca-cache,L1-D.loads-where-utopiacache-remote,L1-D.loads-where-utopiadram,L1-D.loads-where-utopiadram-cache,L1-D.loads-where-utopiadram-local,L1-D.loads-where-utopiadram-remote,L1-D.loads-where-utopiaL1,L1-D.loads-where-utopiaL1_S,L1-D.loads-where-utopiaL1I,L1-D.loads-where-utopiaL2,L1-D.loads-where-utopiaL2_S,L1-D.loads-where-utopiaL3,L1-D.loads-where-utopiaL3_S,L1-D.loads-where-utopiaL4,L1-D.loads-where-utopiaL4_S,L1-D.loads-where-utopiamiss,mmu.migrations_requests,mmu.migrations_delay
bfs,victima_ptw_8MBL2,8417619080.0,499999990.0,38019608.0,247782511.0,35795335.0,38019624.0,,,,,,14873728.0,,,,,,,,,,,,,,,,14873728.0,14569542.0,14873728.0,1279140.0,14873728.0,2.0,139664389.0,15758016971620.0,193675096163693.0,900183514274697.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1588071674772859.0,,,,,,,,,,,,,,,,,14756587.0,113880057.0,0.0,7933252.0,113876136.0,0.0,3237545800000000.0,,615613.0,37176.0,811784.0,759646.0,3938441.0,97711943.0,10001533.0,5547047.0,,,0.0,4306498501.0,,,99119549.0,99123470.0,253876780.0,1226291.0,17551.0,32945686.0,997998.0,14856177.0,46751139.0,30080465.0,193872.0,144433.0,792619.0,79768918.0,4312007.0,45579.0,13312.0,12988.0,106911444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30690208.0,30690208.0,30690208.0,14756587.0,139528366.0,261102110.0,8453341.0,53170595.0,75183253.0,70998277.0,73038172.0,194611916.0,35799986.0,,35799986.0,,0.0,20921607.0,0.0,,,,,,14105130.0,741532.0,8045.0,2416.0,30571823.0,9436929.0,102289.0,3551.0,1092.0,270.0,134.0,9369.0,110316222760590.0,0.0,0.0,11121433878555.0,20921607.0,241402916289150.0,,,,,,,,,,,0.0,0.0,0.0,14756587.0,0.0,0.0,0.0,0.0,15933621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfs,baseline_radix_2MB,8987488640.0,499999990.0,38055845.0,247782511.0,35948368.0,38055861.0,,,,,,35948368.0,,,,,,,,,,,,,,,,35948368.0,30694589.0,35948368.0,1889859.0,35948368.0,2.0,135545486.0,12392100455433.0,253234713691247.0,1355862963049252.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2037856818681788.0,,,,,,,,,,,,,,,,,21579506.0,106482718.0,0.0,7940822.0,106476292.0,37718.0,3456726400000000.0,,569066.0,107696.0,1032101.0,776098.0,2427598.0,91833565.0,9767886.0,4343493.0,,,0.0,4327205941.0,,,84896786.0,84902327.0,253625418.0,1220504.0,160633.0,33160811.0,886989.0,35787735.0,46776021.0,30098771.0,191793.0,146703.0,793105.0,80239282.0,4071570.0,260795.0,192076.0,114104.0,114319998.0,37291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68024618.0,68024618.0,68024618.0,21580391.0,141026044.0,262636534.0,8482681.0,53170595.0,75361313.0,71732200.0,73001426.0,194611916.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,26437998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110302285466835.0,0.0,0.0,10537454462535.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,22442429.0,0.0,0.0,0.0,0.0,45581289.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc,L3TLB_ideal_15,8041226180.0,499999921.0,45526967.0,229397390.0,42380502.0,45526991.0,,,,,,26922177.0,,,,,,,,,,,,,,,,26922177.0,23853563.0,26922177.0,2407131.0,26922177.0,2.0,109664389.0,16665193817898.0,230432603756617.0,1486051137518534.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2205301198374043.0,,,,,,,,,,,,,,,,,24891221.0,121269108.0,0.0,6369686.0,121265100.0,1646.0,3092779300000000.0,,700011.0,165437.0,1541924.0,1330787.0,3996240.0,101809010.0,11723337.0,7034388.0,,,0.0,3742357711.0,,,96373879.0,96377865.0,199284215.0,1441551.0,9437.0,41069349.0,1704938.0,26912740.0,53527478.0,36486697.0,370780.0,243667.0,566668.0,92448546.0,3871333.0,29953.0,3143.0,292.0,127608984.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53136593.0,53136593.0,53136593.0,24891243.0,271850989.0,384457127.0,6730025.0,28363227.0,90352397.0,86583050.0,88428025.0,201034163.0,130286371.0,,130286371.0,,0.0,0.0,0.0,277173793849002.0,42380502.0,26922177.0,,,1.0,0.0,0.0,0.0,27342832.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92443586017860.0,0.0,0.0,15732429267555.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,24891221.0,0.0,0.0,0.0,0.0,28245350.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfs,baseline_radix_1MB,9288708260.0,499999990.0,37799139.0,247782511.0,35291787.0,37799155.0,,,,,,35291787.0,,,,,,,,,,,,,,,,35291787.0,30088080.0,35291787.0,2956906.0,35291787.0,2.0,135545486.0,14794233992264.0,215864469836960.0,1576154399250220.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2218256458719760.0,,,,,,,,,,,,,,,,,25887642.0,112058564.0,0.0,7942284.0,110361221.0,7380266.0,3572580100000000.0,,567904.0,233361.0,1353911.0,1057535.0,2914771.0,101854124.0,9759881.0,5559578.0,,,0.0,4589375594.0,,,84473579.0,84921173.0,253774150.0,1218459.0,116960.0,33268785.0,1288909.0,35174827.0,46759986.0,30108726.0,192634.0,145640.0,793056.0,79711070.0,5009894.0,162766.0,21944.0,3704.0,104509869.0,6884811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67840123.0,67840123.0,67840123.0,27137391.0,140833570.0,262452039.0,8488415.0,53170595.0,75547442.0,72063645.0,72993447.0,194611916.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,29169391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110401018445025.0,0.0,0.0,12536827463160.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,26703313.0,0.0,0.0,0.0,0.0,39886282.0,0.0,0.0,0.0,0.0,0.0,0.0,1250528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfs,tlb_64x_ideal,8668482160.0,499999952.0,38019095.0,247782504.0,22417733.0,38019111.0,,,,,,22417733.0,,,,,,,,,,,,,,,,22417733.0,19898301.0,22417733.0,1926524.0,22417733.0,2.0,135545486.0,12606914351864.0,182378066189816.0,1221966853386076.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1787253484940587.0,,,,,,,,,,,,,,,,,20649298.0,105470010.0,0.0,7940677.0,105465585.0,570.0,3334031600000000.0,,405963.0,97918.0,993906.0,851820.0,2563609.0,90776524.0,9776415.0,4507253.0,,,0.0,3860119825.0,,,84816287.0,84820704.0,253634289.0,1374175.0,15934.0,33188683.0,14227203.0,22401799.0,46770765.0,30096196.0,191982.0,146472.0,792999.0,81252161.0,3517566.0,23706.0,2510.0,268.0,113382596.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44207865.0,44207865.0,44207865.0,20649306.0,117214655.0,238819781.0,8479409.0,53170588.0,75338848.0,71700736.0,73006790.0,194611916.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,25911170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110316417375780.0,0.0,0.0,78006811993110.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,21127851.0,0.0,0.0,0.0,0.0,23079995.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc,baseline_radix_virtualized,9634082380.0,499999864.0,45583021.0,229397386.0,42574891.0,45583039.0,,,,,,0.0,,,,,42574891.0,,,,,80723951.0,,,,,,42574891.0,36299057.0,42574891.0,2365485.0,42574891.0,2.0,135545486.0,15467706911435.0,306131869290214.0,1657415604329936.0,0.0,527810314735209.0,527810502775497.0,528142359373737.0,743008776397710.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4794187352497114.0,,,,,,,,,,,,,,,,,30230399.0,127249261.0,0.0,6370236.0,126962239.0,533270.0,3705416300000000.0,,700996.0,315169.0,1666025.0,1290960.0,3445779.0,107791725.0,12284855.0,6717933.0,,,0.0,2966171178.0,,,96731840.0,96882196.0,199347151.0,1436890.0,176617.0,40950361.0,1571258.0,42398274.0,53591832.0,36486925.0,372924.0,242367.0,567619.0,90477377.0,5306483.0,437680.0,337370.0,300466.0,132276471.0,516692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403548966.0,403548966.0,403548966.0,30367065.0,491989713.0,604583125.0,6709201.0,28363227.0,90556765.0,86760520.0,88440747.0,201034159.0,0.0,,0.0,,0.0,0.0,0.0,,,,80723951.0,80723951.0,0.0,0.0,0.0,0.0,30298792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92422027577880.0,0.0,0.0,15040724959260.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,30491851.0,0.0,0.0,0.0,0.0,372920334.0,0.0,0.0,0.0,0.0,0.0,0.0,136781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfs,baseline_radix_virtualized,10776028120.0,499999952.0,38046959.0,247782504.0,35939235.0,38046981.0,,,,,,0.0,,,,,35939235.0,,,,,67988283.0,,,,,,35939235.0,30686794.0,35939235.0,1889890.0,35939235.0,2.0,135545486.0,12369815872975.0,254633480427713.0,1391822510430484.0,0.0,444538874533177.0,444539457049090.0,444713956629170.0,685098403195929.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4120161658161634.0,,,,,,,,,,,,,,,,,26562654.0,111781495.0,0.0,7941080.0,111498800.0,509138.0,4144626200000000.0,,395111.0,170096.0,1068822.0,717391.0,2022789.0,97352659.0,10281070.0,3979098.0,,,0.0,4107863200.0,,,84936146.0,85047953.0,253572744.0,1221655.0,150877.0,33222358.0,886091.0,35788358.0,46775166.0,30092964.0,193486.0,145469.0,793627.0,79149785.0,4935301.0,445915.0,303827.0,189918.0,118435079.0,491083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339941415.0,339941415.0,339941415.0,26733542.0,412981960.0,534553331.0,8451874.0,53170588.0,75483933.0,71910664.0,73040545.0,194611916.0,0.0,,0.0,,0.0,0.0,0.0,,,,67988283.0,67988283.0,0.0,0.0,0.0,0.0,28576579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110305698155730.0,0.0,0.0,10538719461270.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,27616390.0,0.0,0.0,0.0,0.0,312154031.0,0.0,0.0,0.0,0.0,0.0,0.0,170994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc,L3TLB_ideal_30,8132202260.0,499999921.0,45871079.0,229397390.0,43002553.0,45871103.0,,,,,,27106682.0,,,,,,,,,,,,,,,,27106682.0,24032063.0,27106682.0,2405314.0,27106682.0,2.0,136314716.0,16652599599708.0,231873409325336.0,1494695098459216.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2311627568369006.0,,,,,,,,,,,,,,,,,25048966.0,121417036.0,0.0,6369648.0,121412999.0,1908.0,3127770100000000.0,,783674.0,169119.0,1551410.0,1246445.0,3960926.0,101979039.0,11724294.0,6927900.0,,,0.0,3552337664.0,,,96364033.0,96368041.0,199278898.0,1443736.0,9392.0,40730554.0,1424814.0,27097290.0,53530568.0,36487807.0,370888.0,243586.0,566679.0,92422671.0,3887938.0,29736.0,3042.0,168.0,127756322.0,1898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53496884.0,53496884.0,53496884.0,25048995.0,273797675.0,386405632.0,6730013.0,28363227.0,90357566.0,86587138.0,88426206.0,201034163.0,131874585.0,,131874585.0,,0.0,0.0,0.0,281241156976935.0,43002553.0,27106682.0,,,2.0,0.0,0.0,0.0,27420875.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92311235380980.0,0.0,0.0,14342735657250.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,25048966.0,0.0,0.0,0.0,0.0,28447889.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfs,victima_ptw_2MBL2,8429438680.0,499999990.0,38014949.0,247782511.0,35780185.0,38014965.0,,,,,,17269354.0,,,,,,,,,,,,,,,,17269354.0,16903856.0,17269354.0,1549412.0,17269354.0,2.0,138314716.0,10745177301798.0,177540805951785.0,1052828201835623.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1608471642969312.0,,,,,,,,,,,,,,,,,18040405.0,120198626.0,0.0,7941086.0,120190771.0,24954.0,3242091800000000.0,,455832.0,61904.0,986843.0,1070317.0,4253607.0,103527385.0,9859837.0,6372671.0,,,0.0,4251331460.0,,,102150366.0,102158145.0,253579595.0,1217286.0,6849.0,33247530.0,1017494.0,17262505.0,46773579.0,30102728.0,191514.0,146987.0,792990.0,81496026.0,3251193.0,25992.0,8650.0,59947.0,110767881.0,24615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35668655.0,35668655.0,35668655.0,18040481.0,144464019.0,266086837.0,8494613.0,53170595.0,75379944.0,71798195.0,72989098.0,194611916.0,35806266.0,,35806266.0,,0.0,18510677.0,154.0,,,,,,16620448.0,650512.0,5240.0,1698.0,33120946.0,10467026.0,89180.0,3483.0,1140.0,247.0,152.0,38073.0,110318014681875.0,0.0,0.0,11173888826100.0,18510677.0,113911744549680.0,,,,,,,,,,,0.0,0.0,0.0,18040405.0,0.0,0.0,0.0,0.0,17628174.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc,victima_ptw_1MBL2,7930388700.0,499999911.0,45914858.0,229397389.0,43175698.0,45914882.0,,,,,,23368967.0,,,,,,,,,,,,,,,,23368967.0,22834711.0,23368967.0,2057722.0,23368967.0,2.0,141314716.0,11080394864183.0,211745283341153.0,1430150956319308.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2028778538498760.0,,,,,,,,,,,,,,,,,24371533.0,145289985.0,0.0,6372319.0,143937708.0,6130659.0,3050149500000000.0,,895157.0,193890.0,1939724.0,1938308.0,7584886.0,125602178.0,11914224.0,11656808.0,,,0.0,3998383674.0,,,119566175.0,120721395.0,199440862.0,1426666.0,7264.0,40524810.0,1312518.0,23361703.0,53493945.0,36499440.0,371626.0,242517.0,566772.0,92627297.0,3521583.0,200417.0,191922.0,164051.0,115207638.0,5824222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48114362.0,48114362.0,48114362.0,24568590.0,179772075.0,292388962.0,6746522.0,28363227.0,90606602.0,87033471.0,88417275.0,201034162.0,43240438.0,,43240438.0,,0.0,19233853.0,572878.0,,,,,,23003810.0,867937.0,47671.0,45374.0,38629236.0,14355165.0,22522.0,5008.0,1489.0,347.0,189.0,87785.0,92294396936280.0,0.0,0.0,13695906304080.0,19233853.0,88771540459140.0,,,,,,,,,,,0.0,0.0,0.0,24371533.0,0.0,0.0,0.0,0.0,23545772.0,0.0,0.0,0.0,0.0,0.0,0.0,197057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
