                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8855135640
  IPC                              |        0.06
  Time (ns)                        |  3405821400
  Idle time (ns)                   |         -24
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38056861
    miss rate                      |      15.36%
    mpki                           |       76.11
  L2 TLB                           |            
    num accesses                   |    38056877
    num misses                     |    35951345
    miss rate                      |      94.47%
    mpki                           |       71.90
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   113505720
    num cache misses               |    20708676
    miss rate                      |      18.24%
    mpki                           |       41.42
DRAM summary                       |            
  num dram accesses                |   105564849
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    91188587
  num loads from dram cache        |           0
  num loads from remote cache      |           0
