                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  8167964740
  IPC                              |        0.06
  Time (ns)                        |  3141524900
  Idle time (ns)                   |         -82
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45531577
    miss rate                      |      19.85%
    mpki                           |       91.06
  L2 TLB                           |            
    num accesses                   |    45531601
    num misses                     |    42387552
    miss rate                      |      93.09%
    mpki                           |       84.78
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   127633228
    num cache misses               |    24909836
    miss rate                      |      19.52%
    mpki                           |       49.82
DRAM summary                       |            
  num dram accesses                |   121261585
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   109839393
  num loads from dram cache        |           0
  num loads from remote cache      |           0
