                                   | Core 0      
  Instructions                     |    499999952
  Cycles                           |  10776028120
  IPC                              |         0.05
  Time (ns)                        |   4144626200
  Idle time (ns)                   |          -67
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |     97689857
  num incorrect                    |     11932044
  misprediction rate               |       10.88%
  mpki                             |        23.86
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     77059579
    num misses                     |           22
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    247782504
    num misses                     |     38046959
    miss rate                      |       15.35%
    mpki                           |        76.09
  L2 TLB                           |             
    num accesses                   |     38046981
    num misses                     |     35939235
    miss rate                      |       94.46%
    mpki                           |        71.88
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    119722575
    num cache misses               |     26562654
    miss rate                      |       22.19%
    mpki                           |        53.13
DRAM summary                       |             
  num dram accesses                |    112007938
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |     97198349
  num loads from dram cache        |            0
  num loads from remote cache      |            0
