                                   | Core 0     
  Instructions                     |   499999864
  Cycles                           |  9634082380
  IPC                              |        0.05
  Time (ns)                        |  3705416300
  Idle time (ns)                   |         -69
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          18
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397386
    num misses                     |    45583021
    miss rate                      |      19.87%
    mpki                           |       91.17
  L2 TLB                           |            
    num accesses                   |    45583039
    num misses                     |    42574891
    miss rate                      |      93.40%
    mpki                           |       85.15
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   133619497
    num cache misses               |    30230399
    miss rate                      |      22.62%
    mpki                           |       60.46
DRAM summary                       |            
  num dram accesses                |   127495509
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   115185495
  num loads from dram cache        |           0
  num loads from remote cache      |           0
