                                   | Core 0     
  Instructions                     |   499999952
  Cycles                           |  8848840520
  IPC                              |        0.06
  Time (ns)                        |  3403400200
  Idle time (ns)                   |         -57
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782504
    num misses                     |    37799602
    miss rate                      |      15.26%
    mpki                           |       75.60
  L2 TLB                           |            
    num accesses                   |    37799618
    num misses                     |    35294998
    miss rate                      |      93.37%
    mpki                           |       70.59
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   113772629
    num cache misses               |    20505959
    miss rate                      |      18.02%
    mpki                           |       41.01
DRAM summary                       |            
  num dram accesses                |   105832256
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    90942790
  num loads from dram cache        |           0
  num loads from remote cache      |           0
