                                   | Core 0     
  Instructions                     |   499999947
  Cycles                           |  8151890500
  IPC                              |        0.06
  Time (ns)                        |  3135342500
  Idle time (ns)                   |         -93
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397391
    num misses                     |    45911630
    miss rate                      |      20.01%
    mpki                           |       91.82
  L2 TLB                           |            
    num accesses                   |    45911654
    num misses                     |    43164965
    miss rate                      |      94.02%
    mpki                           |       86.33
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   128251529
    num cache misses               |    25150028
    miss rate                      |      19.61%
    mpki                           |       50.30
DRAM summary                       |            
  num dram accesses                |   121879760
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   110057024
  num loads from dram cache        |           0
  num loads from remote cache      |           0
