                                   | Core 0     
  Instructions                     |   499999952
  Cycles                           |  9751821040
  IPC                              |        0.05
  Time (ns)                        |  3750700400
  Idle time (ns)                   |         -59
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          22
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782503
    num misses                     |    38005980
    miss rate                      |      15.34%
    mpki                           |       76.01
  L2 TLB                           |            
    num accesses                   |    38006002
    num misses                     |    35791541
    miss rate                      |      94.17%
    mpki                           |       71.58
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   117620626
    num cache misses               |    24532885
    miss rate                      |      20.86%
    mpki                           |       49.07
DRAM summary                       |            
  num dram accesses                |   110051437
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    95300560
  num loads from dram cache        |           0
  num loads from remote cache      |           0
