                                   | Core 0     
  Instructions                     |   499999864
  Cycles                           |  8963999720
  IPC                              |        0.06
  Time (ns)                        |  3447692200
  Idle time (ns)                   |         -28
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          18
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45572243
    miss rate                      |      19.87%
    mpki                           |       91.14
  L2 TLB                           |            
    num accesses                   |    45572261
    num misses                     |    42563849
    miss rate                      |      93.40%
    mpki                           |       85.13
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   132864447
    num cache misses               |    29433100
    miss rate                      |      22.15%
    mpki                           |       58.87
DRAM summary                       |            
  num dram accesses                |   126675556
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   114444316
  num loads from dram cache        |           0
  num loads from remote cache      |           0
