                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8965232120
  IPC                              |        0.06
  Time (ns)                        |  3448166200
  Idle time (ns)                   |         -31
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38022552
    miss rate                      |      15.35%
    mpki                           |       76.05
  L2 TLB                           |            
    num accesses                   |    38022568
    num misses                     |    34590023
    miss rate                      |      90.97%
    mpki                           |       69.18
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   114514342
    num cache misses               |    21670686
    miss rate                      |      18.92%
    mpki                           |       43.34
DRAM summary                       |            
  num dram accesses                |   106593946
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    92011904
  num loads from dram cache        |           0
  num loads from remote cache      |           0
