                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8966090120
  IPC                              |        0.06
  Time (ns)                        |  3448496200
  Idle time (ns)                   |         -85
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38023448
    miss rate                      |      15.35%
    mpki                           |       76.05
  L2 TLB                           |            
    num accesses                   |    38023464
    num misses                     |    35807153
    miss rate                      |      94.17%
    mpki                           |       71.61
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   114243374
    num cache misses               |    21411294
    miss rate                      |      18.74%
    mpki                           |       42.82
DRAM summary                       |            
  num dram accesses                |   106323897
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    91788538
  num loads from dram cache        |           0
  num loads from remote cache      |           0
