                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8586802380
  IPC                              |        0.06
  Time (ns)                        |  3302616300
  Idle time (ns)                   |          -4
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38016450
    miss rate                      |      15.34%
    mpki                           |       76.03
  L2 TLB                           |            
    num accesses                   |    38016466
    num misses                     |    35784877
    miss rate                      |      94.13%
    mpki                           |       71.57
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   132978617
    num cache misses               |    20046571
    miss rate                      |      15.08%
    mpki                           |       40.09
DRAM summary                       |            
  num dram accesses                |   131512564
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   109452038
  num loads from dram cache        |           0
  num loads from remote cache      |           0
