                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  7923535620
  IPC                              |        0.06
  Time (ns)                        |  3047513700
  Idle time (ns)                   |         -43
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397390
    num misses                     |    45574582
    miss rate                      |      19.87%
    mpki                           |       91.15
  L2 TLB                           |            
    num accesses                   |    45574606
    num misses                     |    42552955
    miss rate                      |      93.37%
    mpki                           |       85.11
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   151487091
    num cache misses               |    24296245
    miss rate                      |      16.04%
    mpki                           |       48.59
DRAM summary                       |            
  num dram accesses                |   149901391
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   132615054
  num loads from dram cache        |           0
  num loads from remote cache      |           0
