                                   | Core 0     
  Instructions                     |   499999990
  Cycles                           |  8407559680
  IPC                              |        0.06
  Time (ns)                        |  3233676800
  Idle time (ns)                   |         -19
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          16
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782511
    num misses                     |    38021510
    miss rate                      |      15.34%
    mpki                           |       76.04
  L2 TLB                           |            
    num accesses                   |    38021526
    num misses                     |    35798942
    miss rate                      |      94.15%
    mpki                           |       71.60
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   125793614
    num cache misses               |    16763926
    miss rate                      |      13.33%
    mpki                           |       33.53
DRAM summary                       |            
  num dram accesses                |   117851087
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   103050108
  num loads from dram cache        |           0
  num loads from remote cache      |           0
