                                   | Core 0     
  Instructions                     |   499999947
  Cycles                           |  7781824960
  IPC                              |        0.06
  Time (ns)                        |  2993009600
  Idle time (ns)                   |         -29
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397391
    num misses                     |    45913587
    miss rate                      |      20.01%
    mpki                           |       91.83
  L2 TLB                           |            
    num accesses                   |    45913611
    num misses                     |    43172306
    miss rate                      |      94.03%
    mpki                           |       86.34
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   142943184
    num cache misses               |    20389738
    miss rate                      |      14.26%
    mpki                           |       40.78
DRAM summary                       |            
  num dram accesses                |   136573080
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   125033324
  num loads from dram cache        |           0
  num loads from remote cache      |           0
