                                   | Core 0     
  Instructions                     |   499999952
  Cycles                           |  8550184760
  IPC                              |        0.06
  Time (ns)                        |  3288532600
  Idle time (ns)                   |          -8
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    97689857
  num incorrect                    |    11932044
  misprediction rate               |      10.88%
  mpki                             |       23.86
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    77059579
    num misses                     |          22
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   247782504
    num misses                     |    37991995
    miss rate                      |      15.33%
    mpki                           |       75.98
  L2 TLB                           |            
    num accesses                   |    37992017
    num misses                     |    35771536
    miss rate                      |      94.16%
    mpki                           |       71.54
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   128798144
    num cache misses               |    17977705
    miss rate                      |      13.96%
    mpki                           |       35.96
DRAM summary                       |            
  num dram accesses                |   121885896
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   105342506
  num loads from dram cache        |           0
  num loads from remote cache      |           0
