                                   | Core 0     
  Instructions                     |   499999921
  Cycles                           |  7933391700
  IPC                              |        0.06
  Time (ns)                        |  3051304500
  Idle time (ns)                   |         -78
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   108400720
  num incorrect                    |     9563639
  misprediction rate               |       8.11%
  mpki                             |       19.13
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    56483165
    num misses                     |          24
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   229397391
    num misses                     |    45567983
    miss rate                      |      19.86%
    mpki                           |       91.14
  L2 TLB                           |            
    num accesses                   |    45568007
    num misses                     |    42522375
    miss rate                      |      93.32%
    mpki                           |       85.04
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   146571164
    num cache misses               |    22082180
    miss rate                      |      15.07%
    mpki                           |       44.16
DRAM summary                       |            
  num dram accesses                |   141122827
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   128186866
  num loads from dram cache        |           0
  num loads from remote cache      |           0
